date,daily_pos,daily_tests,daily_pcnt,cumul_pos,cumul_test
2020-09-04,9,15,60.0,18,58
2020-09-05,20,42,47.6,38,100
2020-09-06,7,20,35.0,45,120
2020-09-07,11,36,30.6,56,156
2020-09-08,8,93,8.6,64,249
2020-09-09,14,216,6.5,78,465
2020-09-10,21,160,13.1,99,625
2020-09-14,20,193,10.4,119,818
2020-09-14,5,200,2.5,124,1018
2020-09-15,15,344,4.4,139,1362
2020-09-16,29,321,9.0,168,1683
2020-09-17,13,308,4.2,181,1991
2020-09-18,12,301,4.0,193,2292
2020-09-21,13,331,3.9,206,2623
2020-09-22,5,275,1.8,211,2898
2020-09-23,1,242,0.4,212,3140
2020-09-24,5,307,1.6,217,3447
2020-09-25,0,207,0.0,217,3654
2020-09-28,15,275,5.5,232,3929
2020-09-29,2,316,0.6,234,4245
2020-09-30,0,232,0.0,234,4477
2020-10-01,3,269,1.1,237,4746
2020-10-02,1,241,0.4,238,4987
